ieee;nwk;model;device_name;entity_id;entity_name;domain;custom_name
94:b2:16:ff:fe:ee:e5:31;0x3CC4;TRADFRI bulb E14 WS candle 470lm;Dining room 1 ceiling light bulb TRADFRI;button.tradfri_bulb_e14_ws_candle_470lm_dinning_room_new_1_identify_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;button;
94:b2:16:ff:fe:ee:e5:31;0x3CC4;TRADFRI bulb E14 WS candle 470lm;Dining room 1 ceiling light bulb TRADFRI;light.tradfri_bulb_e14_ws_candle_470lm_dinning_room_new_1_light_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;light;
94:b2:16:ff:fe:ee:e5:31;0x3CC4;TRADFRI bulb E14 WS candle 470lm;Dining room 1 ceiling light bulb TRADFRI;number.tradfri_bulb_e14_ws_candle_470lm_dinning_room_new_1_on_off_transition_time_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
94:b2:16:ff:fe:ee:e5:31;0x3CC4;TRADFRI bulb E14 WS candle 470lm;Dining room 1 ceiling light bulb TRADFRI;number.tradfri_bulb_e14_ws_candle_470lm_dinning_room_new_1_on_level_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
94:b2:16:ff:fe:ee:e5:31;0x3CC4;TRADFRI bulb E14 WS candle 470lm;Dining room 1 ceiling light bulb TRADFRI;number.tradfri_bulb_e14_ws_candle_470lm_dinning_room_new_1_start_up_current_level_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
94:b2:16:ff:fe:ee:e5:31;0x3CC4;TRADFRI bulb E14 WS candle 470lm;Dining room 1 ceiling light bulb TRADFRI;number.tradfri_bulb_e14_ws_candle_470lm_dinning_room_new_1_start_up_color_temperature_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
94:b2:16:ff:fe:ee:e5:31;0x3CC4;TRADFRI bulb E14 WS candle 470lm;Dining room 1 ceiling light bulb TRADFRI;select.tradfri_bulb_e14_ws_candle_470lm_dinning_room_new_1_start_up_behavior_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;select;
94:b2:16:ff:fe:ee:e5:31;0x3CC4;TRADFRI bulb E14 WS candle 470lm;Dining room 1 ceiling light bulb TRADFRI;update.dining_room_1_ceiling_light_bulb_ikea_tradfri_e14_470lm_firmware;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;update;
a4:c1:38:bd:25:84:f7:ce;0x43CD;TS011F;Living room heater socket TZ3000;button.living_room_heater_socket_tz3000_identify;_TZ3000_cehuw1lw TS011F;button;
a4:c1:38:bd:25:84:f7:ce;0x43CD;TS011F;Living room heater socket TZ3000;select.living_room_heater_socket_tz3000_power_on_state;_TZ3000_cehuw1lw TS011F;select;
a4:c1:38:bd:25:84:f7:ce;0x43CD;TS011F;Living room heater socket TZ3000;select.living_room_heater_socket_tz3000_backlight_mode;_TZ3000_cehuw1lw TS011F;select;
a4:c1:38:bd:25:84:f7:ce;0x43CD;TS011F;Living room heater socket TZ3000;select.living_room_heater_socket_tz3000_start_up_behavior;_TZ3000_cehuw1lw TS011F;select;
a4:c1:38:bd:25:84:f7:ce;0x43CD;TS011F;Living room heater socket TZ3000;sensor.living_room_heater_socket_tz3000_current;_TZ3000_cehuw1lw TS011F;sensor;
a4:c1:38:bd:25:84:f7:ce;0x43CD;TS011F;Living room heater socket TZ3000;sensor.living_room_heater_socket_tz3000_voltage;_TZ3000_cehuw1lw TS011F;sensor;
a4:c1:38:bd:25:84:f7:ce;0x43CD;TS011F;Living room heater socket TZ3000;sensor.living_room_heater_socket_tz3000_power;_TZ3000_cehuw1lw TS011F;sensor;
a4:c1:38:bd:25:84:f7:ce;0x43CD;TS011F;Living room heater socket TZ3000;sensor.living_room_heater_socket_tz3000_summation_delivered;_TZ3000_cehuw1lw TS011F;sensor;
a4:c1:38:bd:25:84:f7:ce;0x43CD;TS011F;Living room heater socket TZ3000;switch.living_room_heater_socket_tz3000_switch;_TZ3000_cehuw1lw TS011F;switch;
a4:c1:38:bd:25:84:f7:ce;0x43CD;TS011F;Living room heater socket TZ3000;switch.living_room_heater_socket_tz3000_child_lock;_TZ3000_cehuw1lw TS011F;switch;
a4:c1:38:bd:25:84:f7:ce;0x43CD;TS011F;Living room heater socket TZ3000;update.living_room_heater_socket_tz3000_firmware;_TZ3000_cehuw1lw TS011F;update;
8c:65:a3:ff:fe:c8:a4:fd;0xD9A6;TRADFRI bulb E14 WS candle 470lm;Dining room 2 ceiling light bulb TRADFRI;button.tradfri_bulb_e14_ws_candle_470lm_2_dining_room_new_identify_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;button;
8c:65:a3:ff:fe:c8:a4:fd;0xD9A6;TRADFRI bulb E14 WS candle 470lm;Dining room 2 ceiling light bulb TRADFRI;light.tradfri_bulb_e14_ws_candle_470lm_2_dining_room_new_light_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;light;
8c:65:a3:ff:fe:c8:a4:fd;0xD9A6;TRADFRI bulb E14 WS candle 470lm;Dining room 2 ceiling light bulb TRADFRI;number.tradfri_bulb_e14_ws_candle_470lm_2_dining_room_new_on_off_transition_time_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
8c:65:a3:ff:fe:c8:a4:fd;0xD9A6;TRADFRI bulb E14 WS candle 470lm;Dining room 2 ceiling light bulb TRADFRI;number.tradfri_bulb_e14_ws_candle_470lm_2_dining_room_new_on_level_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
